"요일별보고서(2025.06.01.~2025.06.30.),gorilla0003:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,2.74,3.2,215,429,0,0
"월요일",01시~02시,0,0,2,0,0,0,0
"월요일",02시~03시,0,0,2.3,0,0,0,0
"월요일",03시~04시,0,0,2.2,0,0,0,0
"월요일",04시~05시,0,0,2.3,0,0,0,0
"월요일",05시~06시,0,0,1.7,0,0,0,0
"월요일",06시~07시,0,0,1.7,0,0,0,0
"월요일",07시~08시,1,1.79,2.1,66,66,0,0
"월요일",08시~09시,2,1.87,1.9,61,121,0,0
"월요일",09시~10시,1,0.65,2.1,77,77,0,0
"월요일",10시~11시,1,0.45,2.3,77,77,0,0
"월요일",11시~12시,1,0.44,2.1,77,77,0,0
"월요일",12시~13시,2,0.82,2,72,143,0,0
"월요일",13시~14시,0,0,1.8,0,0,0,0
"월요일",14시~15시,0,0,2.6,0,0,0,0
"월요일",15시~16시,3,1.2,1.9,158,473,0,0
"월요일",16시~17시,2,0.94,2.4,72,143,0,0
"월요일",17시~18시,2,0.86,2.1,77,154,0,0
"월요일",18시~19시,0,0,2.3,0,0,0,0
"월요일",19시~20시,1,0.58,2.3,374,374,0,0
"월요일",20시~21시,4,2.64,2,124,495,0,0
"월요일",21시~22시,2,1.21,1.8,94,187,0,0
"월요일",22시~23시,2,1.39,2.1,176,352,0,0
"월요일",23시~00시,0,0,2.1,0,0,0,0
"화요일",00시~01시,1,0.96,2,242,242,0,0
"화요일",01시~02시,0,0,2.4,0,0,0,0
"화요일",02시~03시,0,0,2.3,0,0,0,0
"화요일",03시~04시,0,0,1.6,0,0,0,0
"화요일",04시~05시,0,0,2.1,0,0,0,0
"화요일",05시~06시,0,0,1.8,0,0,0,0
"화요일",06시~07시,0,0,2.3,0,0,0,0
"화요일",07시~08시,0,0,1.4,0,0,0,0
"화요일",08시~09시,0,0,1.8,0,0,0,0
"화요일",09시~10시,1,0.81,1.9,77,77,0,0
"화요일",10시~11시,0,0,1.9,0,0,0,0
"화요일",11시~12시,4,2.12,2.2,253,"1,012",0,0
"화요일",12시~13시,3,2.86,2.2,88,264,0,0
"화요일",13시~14시,4,3.23,2.6,80,319,0,0
"화요일",14시~15시,1,0.82,2.9,363,363,0,0
"화요일",15시~16시,1,0.69,3,66,66,0,0
"화요일",16시~17시,1,0.66,2.4,77,77,0,0
"화요일",17시~18시,0,0,2.7,0,0,0,0
"화요일",18시~19시,1,0.9,2.5,330,330,0,0
"화요일",19시~20시,4,3.01,2.8,80,319,0,0
"화요일",20시~21시,2,2.18,2.4,66,132,0,0
"화요일",21시~22시,1,0.95,2.1,66,66,0,0
"화요일",22시~23시,0,0,2,0,0,0,0
"화요일",23시~00시,2,2.2,1.7,149,297,0,0
"수요일",00시~01시,1,1.54,2.8,99,99,0,0
"수요일",01시~02시,0,0,1.4,0,0,0,0
"수요일",02시~03시,0,0,1.9,0,0,0,0
"수요일",03시~04시,0,0,2.8,0,0,0,0
"수요일",04시~05시,0,0,3.4,0,0,0,0
"수요일",05시~06시,0,0,2,0,0,0,0
"수요일",06시~07시,0,0,2.9,0,0,0,0
"수요일",07시~08시,1,1.76,2,66,66,0,0
"수요일",08시~09시,1,1.17,1.6,407,407,0,0
"수요일",09시~10시,1,0.77,2.5,77,77,0,0
"수요일",10시~11시,2,1.44,2.2,248,495,0,0
"수요일",11시~12시,2,1.57,2.3,352,704,0,0
"수요일",12시~13시,0,0,2.8,0,0,0,0
"수요일",13시~14시,1,0.91,2.9,77,77,0,0
"수요일",14시~15시,0,0,2.9,0,0,0,0
"수요일",15시~16시,0,0,2.3,0,0,0,0
"수요일",16시~17시,1,0.96,2.4,77,77,0,0
"수요일",17시~18시,1,1.03,2.7,77,77,0,0
"수요일",18시~19시,1,0.85,2.3,77,77,0,0
"수요일",19시~20시,4,3.18,2.3,154,616,0,0
"수요일",20시~21시,3,2.89,2,213,638,0,0
"수요일",21시~22시,1,1.03,2.1,132,132,0,0
"수요일",22시~23시,1,0.88,2.2,66,66,0,0
"수요일",23시~00시,0,0,2.2,0,0,0,0
"목요일",00시~01시,0,0,2.6,0,0,0,0
"목요일",01시~02시,0,0,2.8,0,0,0,0
"목요일",02시~03시,0,0,2.1,0,0,0,0
"목요일",03시~04시,0,0,2.8,0,0,0,0
"목요일",04시~05시,0,0,1.7,0,0,0,0
"목요일",05시~06시,0,0,1.6,0,0,0,0
"목요일",06시~07시,0,0,1.4,0,0,0,0
"목요일",07시~08시,0,0,1.5,0,0,0,0
"목요일",08시~09시,1,1.39,2,363,363,0,0
"목요일",09시~10시,0,0,2.4,0,0,0,0
"목요일",10시~11시,2,2.05,2.6,77,154,0,0
"목요일",11시~12시,0,0,2.9,0,0,0,0
"목요일",12시~13시,0,0,2.3,0,0,0,0
"목요일",13시~14시,1,0.91,2.8,264,264,0,0
"목요일",14시~15시,1,0.88,2.4,341,341,0,0
"목요일",15시~16시,2,1.3,2.9,77,154,0,0
"목요일",16시~17시,2,1.39,2.9,77,154,0,0
"목요일",17시~18시,0,0,2.3,0,0,0,0
"목요일",18시~19시,1,1.03,2.5,264,264,0,0
"목요일",19시~20시,2,2.18,2.2,369,737,0,0
"목요일",20시~21시,1,1.34,2.5,55,55,0,0
"목요일",21시~22시,0,0,2.6,0,0,0,0
"목요일",22시~23시,3,2.5,2.9,180,539,0,0
"목요일",23시~00시,0,0,2.5,0,0,0,0
"금요일",00시~01시,0,0,2.4,0,0,0,0
"금요일",01시~02시,0,0,2.4,0,0,0,0
"금요일",02시~03시,0,0,3,0,0,0,0
"금요일",03시~04시,0,0,1.8,0,0,0,0
"금요일",04시~05시,0,0,2.4,0,0,0,0
"금요일",05시~06시,0,0,1.9,0,0,0,0
"금요일",06시~07시,0,0,2.1,0,0,0,0
"금요일",07시~08시,1,1.82,1.5,616,616,0,0
"금요일",08시~09시,0,0,1.9,0,0,0,0
"금요일",09시~10시,0,0,2.2,0,0,0,0
"금요일",10시~11시,1,0.52,2.2,77,77,0,0
"금요일",11시~12시,1,0.7,2,132,132,0,0
"금요일",12시~13시,0,0,2,0,0,0,0
"금요일",13시~14시,1,0.55,2.4,77,77,0,0
"금요일",14시~15시,0,0,2.4,0,0,0,0
"금요일",15시~16시,2,1.07,2.3,77,154,0,0
"금요일",16시~17시,1,0.63,2,77,77,0,0
"금요일",17시~18시,1,0.59,2.5,77,77,0,0
"금요일",18시~19시,3,1.81,2.4,260,781,0,0
"금요일",19시~20시,0,0,2.1,0,0,0,0
"금요일",20시~21시,0,0,2.4,0,0,0,0
"금요일",21시~22시,1,0.74,2.5,77,77,0,0
"금요일",22시~23시,3,2.35,2.2,81,242,0,0
"금요일",23시~00시,0,0,2.5,0,0,0,0
"토요일",00시~01시,0,0,2.1,0,0,0,0
"토요일",01시~02시,1,1.93,2,55,55,0,0
"토요일",02시~03시,0,0,3.5,0,0,0,0
"토요일",03시~04시,0,0,2.1,0,0,0,0
"토요일",04시~05시,1,4.55,2.1,77,77,0,0
"토요일",05시~06시,0,0,1.9,0,0,0,0
"토요일",06시~07시,0,0,2.1,0,0,0,0
"토요일",07시~08시,0,0,2.4,0,0,0,0
"토요일",08시~09시,1,0.96,2,176,176,0,0
"토요일",09시~10시,0,0,1.9,0,0,0,0
"토요일",10시~11시,1,0.48,1.7,605,605,0,0
"토요일",11시~12시,0,0,2,0,0,0,0
"토요일",12시~13시,1,0.36,1.8,55,55,0,0
"토요일",13시~14시,2,0.8,2.2,77,154,0,0
"토요일",14시~15시,2,0.72,2,77,154,0,0
"토요일",15시~16시,2,0.86,2.2,77,154,0,0
"토요일",16시~17시,3,1.3,2.1,66,198,0,0
"토요일",17시~18시,0,0,2,0,0,0,0
"토요일",18시~19시,2,1.09,2.1,72,143,0,0
"토요일",19시~20시,3,1.58,2.5,73,220,0,0
"토요일",20시~21시,1,0.7,2,231,231,0,0
"토요일",21시~22시,1,0.86,2.1,77,77,0,0
"토요일",22시~23시,1,0.94,2.3,55,55,0,0
"토요일",23시~00시,3,2.61,2.1,290,869,0,0
"일요일",00시~01시,2,1.56,2.5,72,143,0,0
"일요일",01시~02시,0,0,2.3,0,0,0,0
"일요일",02시~03시,0,0,2.1,0,0,0,0
"일요일",03시~04시,2,4.26,2.3,83,165,0,0
"일요일",04시~05시,0,0,2.1,0,0,0,0
"일요일",05시~06시,1,3.23,2.9,77,77,0,0
"일요일",06시~07시,0,0,2.4,0,0,0,0
"일요일",07시~08시,5,8.93,1.5,84,418,0,0
"일요일",08시~09시,4,3.04,2.4,72,286,0,0
"일요일",09시~10시,2,1.09,1.9,72,143,0,0
"일요일",10시~11시,3,1.19,2.1,70,209,0,0
"일요일",11시~12시,1,0.45,1.9,55,55,0,0
"일요일",12시~13시,3,1.08,1.9,143,429,0,0
"일요일",13시~14시,4,1.38,2,74,297,0,0
"일요일",14시~15시,6,1.93,2.1,117,704,0,0
"일요일",15시~16시,5,1.73,2,73,363,0,0
"일요일",16시~17시,3,1.33,1.8,73,220,0,0
"일요일",17시~18시,2,0.86,2.1,182,363,0,0
"일요일",18시~19시,4,1.74,2,132,528,0,0
"일요일",19시~20시,3,1.52,2.2,62,187,0,0
"일요일",20시~21시,2,1.21,1.9,66,132,0,0
"일요일",21시~22시,3,1.55,2.5,198,594,0,0
"일요일",22시~23시,1,0.56,2.1,231,231,0,0
"일요일",23시~00시,0,0,2,0,0,0,0
