"요일별보고서(2025.06.01.~2025.06.30.),qudguswh:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1.5,0,0,0,0
"월요일",06시~07시,0,0,3,0,0,0,0
"월요일",09시~10시,0,0,2,0,0,0,0
"월요일",12시~13시,0,0,3,0,0,0,0
"월요일",13시~14시,0,0,3,0,0,0,0
"월요일",17시~18시,0,0,3,0,0,0,0
"화요일",15시~16시,0,0,2,0,0,0,0
"일요일",00시~01시,0,0,1.5,0,0,0,0
"일요일",08시~09시,1,1.52,1.8,"1,012","1,012",0,0
"일요일",09시~10시,13,1.13,1.8,629,"8,173",0,0
"일요일",10시~11시,21,1.59,2,536,"11,253",0,0
"일요일",11시~12시,18,1.36,2.1,787,"14,157",0,0
"일요일",12시~13시,0,0,2.2,0,0,0,0
"일요일",13시~14시,1,25,2,77,77,0,0
"일요일",14시~15시,0,0,1.7,0,0,0,0
"일요일",15시~16시,0,0,1.5,0,0,0,0
"일요일",16시~17시,0,0,1,0,0,0,0
"일요일",17시~18시,0,0,1.5,0,0,0,0
"일요일",18시~19시,0,0,2,0,0,0,0
"일요일",19시~20시,0,0,1,0,0,0,0
"일요일",20시~21시,0,0,2,0,0,0,0
"일요일",21시~22시,0,0,1,0,0,0,0
"일요일",23시~00시,0,0,4,0,0,0,0
